"Date","Close","Volume"
"2024-10-20T22:00:00.000Z","59,000.00","18,514,905.00"
"2024-10-21T22:00:00.000Z","57,700.00","27,582,527.00"
"2024-10-22T22:00:00.000Z","59,100.00","27,300,780.00"
"2024-10-23T22:00:00.000Z","56,600.00","31,499,922.00"
"2024-10-24T22:00:00.000Z","55,900.00","25,829,315.00"
"2024-10-27T23:00:00.000Z","58,100.00","27,775,009.00"
"2024-10-28T23:00:00.000Z","59,600.00","28,369,314.00"
"2024-10-29T23:00:00.000Z","59,100.00","19,838,511.00"
"2024-10-30T23:00:00.000Z","59,200.00","35,809,196.00"
"2024-10-31T23:00:00.000Z","58,300.00","19,083,180.00"
"2024-11-03T23:00:00.000Z","58,700.00","15,586,947.00"
"2024-11-04T23:00:00.000Z","57,600.00","17,484,474.00"
"2024-11-05T23:00:00.000Z","57,300.00","22,092,218.00"
"2024-11-06T23:00:00.000Z","57,300.00","17,043,102.00"
"2024-11-07T23:00:00.000Z","57,000.00","13,877,396.00"
"2024-11-10T23:00:00.000Z","55,000.00","29,811,326.00"
"2024-11-11T23:00:00.000Z","53,000.00","37,962,881.00"
"2024-11-12T23:00:00.000Z","50,600.00","52,527,995.00"
"2024-11-13T23:00:00.000Z","49,900.00","48,510,715.00"
"2024-11-14T23:00:00.000Z","53,500.00","46,774,485.00"
"2024-11-17T23:00:00.000Z","56,700.00","48,095,234.00"
"2024-11-18T23:00:00.000Z","56,300.00","31,539,632.00"
"2024-11-19T23:00:00.000Z","55,300.00","20,864,667.00"
"2024-11-20T23:00:00.000Z","56,400.00","19,096,850.00"
"2024-11-21T23:00:00.000Z","56,000.00","15,281,543.00"
"2024-11-24T23:00:00.000Z","57,900.00","36,237,325.00"
"2024-11-25T23:00:00.000Z","58,300.00","23,209,405.00"
"2024-11-26T23:00:00.000Z","56,300.00","21,808,387.00"
"2024-11-27T23:00:00.000Z","55,500.00","20,001,134.00"
"2024-11-28T23:00:00.000Z","54,200.00","24,513,531.00"
"2024-12-01T23:00:00.000Z","53,600.00","22,044,867.00"
"2024-12-02T23:00:00.000Z","53,600.00","23,374,603.00"
"2024-12-03T23:00:00.000Z","53,100.00","29,004,766.00"
"2024-12-04T23:00:00.000Z","53,700.00","23,588,277.00"
"2024-12-05T23:00:00.000Z","54,100.00","22,861,874.00"
"2024-12-08T23:00:00.000Z","53,400.00","26,227,680.00"
"2024-12-09T23:00:00.000Z","54,000.00","20,783,970.00"
"2024-12-10T23:00:00.000Z","54,000.00","14,565,947.00"
"2024-12-11T23:00:00.000Z","55,900.00","33,476,698.00"
"2024-12-12T23:00:00.000Z","56,100.00","15,908,823.00"
"2024-12-15T23:00:00.000Z","55,600.00","15,277,277.00"
"2024-12-16T23:00:00.000Z","54,200.00","20,215,230.00"
"2024-12-17T23:00:00.000Z","54,900.00","13,698,937.00"
"2024-12-18T23:00:00.000Z","53,100.00","22,481,925.00"
"2024-12-19T23:00:00.000Z","53,000.00","24,674,774.00"
"2024-12-22T23:00:00.000Z","53,500.00","13,672,650.00"
"2024-12-23T23:00:00.000Z","54,400.00","11,634,677.00"
"2024-12-25T23:00:00.000Z","53,600.00","10,517,075.00"
"2024-12-26T23:00:00.000Z","53,700.00","10,747,196.00"
"2024-12-29T23:00:00.000Z","53,200.00","12,624,702.00"
"2025-01-01T23:00:00.000Z","53,400.00","16,630,538.00"
"2025-01-02T23:00:00.000Z","54,400.00","19,318,046.00"
"2025-01-05T23:00:00.000Z","55,900.00","19,034,284.00"
"2025-01-06T23:00:00.000Z","55,400.00","17,030,235.00"
"2025-01-07T23:00:00.000Z","57,300.00","26,593,553.00"
"2025-01-08T23:00:00.000Z","56,100.00","24,490,592.00"
"2025-01-09T23:00:00.000Z","55,300.00","16,059,223.00"
"2025-01-12T23:00:00.000Z","54,100.00","16,868,600.00"
"2025-01-13T23:00:00.000Z","53,900.00","17,465,926.00"
"2025-01-14T23:00:00.000Z","53,700.00","18,625,025.00"
"2025-01-15T23:00:00.000Z","54,300.00","18,627,298.00"
"2025-01-16T23:00:00.000Z","53,700.00","18,805,344.00"
"2025-01-19T23:00:00.000Z","53,400.00","11,822,531.00"
